isolated prestige,isolated citations,relational prestige,relational citations,review score
"[False, False]","[77, 283]","[False, True, False, False]","[0, 65, 77767, 634]",0.5
"[False, True, False, True]","[0, 1058, 1479, 720]","[True, True, False, False, False, True, True, False, True, True, False]","[60, 580, 2340, 517, 1117, 3, 1152, 14638, 641, 2, 16375]",0.6
"[False, True, True, True, True, True]","[387, 427, 9, 2280, 1352, 3]",[],[],0.4
[False],[0],[],[],0.0
"[False, True]","[0, 995]","[True, False]","[101, 0]",0.2
[True],[53],[],[],0.4
"[True, True, True, True, True]","[23, 187, 143, 9970, 3997]","[True, False, False, False]","[394, 222, 0, 20176]",0.8
[False],[39],"[True, True, True]","[1813, 165, 0]",0.3
"[True, True, False, False]","[1, 2, 0, 0]","[True, False, True, True]","[11, 0, 105, 634]",0.6
"[True, True, True, True]","[0, 10, 0, 189]","[True, True]","[1146, 1145]",0.7
"[True, True, False]","[7, 36, 6710]","[True, True, True, False, True, True, True, True, False, True, True, False, True, True, True, True, False, True, False, True]","[430, 0, 0, 0, 0, 0, 101, 36, 10, 0, 0, 0, 4021, 0, 8, 164, 40, 16, 0, 301]",0.8
[False],[0],[],[],0.6
"[True, True, False]","[36, 7, 6710]","[True, True, True, False, True, True, True, True, False, True, True, False, True, True, True, True, False, True, False, True]","[430, 0, 0, 0, 0, 0, 101, 36, 10, 0, 0, 0, 4021, 0, 8, 164, 40, 16, 0, 301]",0.7000000000000001
"[True, False, False, True]","[3, 6, 7457, 4]",[],[],0.6
"[False, False]","[1, 1]",[],[],0.7
"[True, True, True, True]","[51, 38, 860, 4812]",[False],[872],0.7
"[False, False, False]","[0, 10974, 1827]",[],[],0.8
"[True, True, True]","[68, 3, 638]","[True, True, True, True, True, True, True]","[2, 192, 135, 162, 6134, 68, 36773]",0.8
"[False, True, False]","[0, 43, 898]",[],[],0.4
[False],[0],[],[],0.5
"[True, True, False]","[7, 36, 6710]","[True, True, True, False, True, True, True, True, False, True, True, False, True, True, True, True, False, True, False, True]","[430, 0, 0, 0, 0, 0, 101, 36, 10, 0, 0, 0, 4021, 0, 8, 164, 40, 16, 0, 301]",0.8
"[False, False, False]","[0, 10974, 1827]",[],[],0.8
"[True, True, False]","[36, 7, 6710]","[True, True, True, False, True, True, True, True, False, True, True, False, True, True, True, True, False, True, False, True]","[430, 0, 0, 0, 0, 0, 101, 36, 10, 0, 0, 0, 4021, 0, 8, 164, 40, 16, 0, 301]",0.7000000000000001
"[True, True, True]","[68, 3, 638]","[True, True, True, True, True, True, True]","[2, 192, 135, 162, 6134, 68, 36773]",0.8
"[False, True, False, False, True]","[8, 2209, 1399, 96, 1179]","[False, False, False, False, True, False, True, False, True, False, False]","[12666, 1321, 1198, 709, 1166, 67323, 14, 77767, 124, 0, 13]",0.5
"[False, True, False]","[0, 43, 898]",[],[],0.4
[False],[0],[],[],0.5
"[False, False, False, False]","[105, 0, 9, 12916]","[False, True, True, True]","[289, 10456, 1384, 12451]",0.7
