ego prestige,ego citations,relational prestige,relational citations,avg review score
14,45,"[29, 500]","[2055, 0]",0.5555555555555556
500,0,"[29, 14]","[2055, 45]",0.5555555555555556
29,2055,"[14, 500]","[45, 0]",0.5555555555555556
101,20,"[4, 99, 99]","[8201, 0, 46]",0.5277777777777778
99,0,"[4, 101, 99]","[8201, 20, 46]",0.5277777777777778
4,8201,"[4, 4, 4, 4, 5, 25, 101, 99, 25, 151, 151, 4, 4, 151, 99, 61, 4, 4, 4, 99, 4, 4, 4, 4, 4, 4, 101, 99, 4, 4, 4, 4, 4, 4, 99, 99, 4, 4, 4, 101, 4, 99, 99, 4, 401, 4, 4, 4, 4, 99, 99, 99, 25, 8, 99, 99]","[51, 3413, 42, 1539, 3033, 50207, 128, 2, 142, 45306, 1358, 707, 116, 1904, 44, 180, 2756, 0, 328, 9, 20, 248, 14, 840, 920, 25, 5047, 32, 24, 84, 8, 8, 105, 920, 30, 46, 48, 51, 516, 20, 30, 2768, 0, 335, 5532, 47, 41, 171, 11, 350, 988, 32, 90, 971, 32, 29]",0.5717299578059072
99,46,"[4, 101, 99]","[8201, 20, 0]",0.5277777777777778
151,3,"[101, 151, 500]","[85, 1417, 0]",0.25
500,0,"[151, 101, 151]","[3, 85, 1417]",0.25
101,85,"[151, 151, 500]","[3, 1417, 0]",0.25
151,1417,"[29, 101, 151, 99, 500, 500]","[1594, 85, 3, 1666, 0, 0]",0.25
99,2,"[201, 6, 6, 99, 61]","[2163, 36959, 30, 0, 14634]",0.39444444444444443
201,2163,"[33, 99, 99, 7, 50]","[1179, 2, 0, 1546, 27]",0.6083333333333334
99,0,"[201, 99]","[2163, 2]",0.375
99,488,"[500, 27, 101, 75, 201, 99, 201, 500, 99, 500, 29, 2, 201, 29, 99, 151, 48, 99, 99, 500, 101, 61]","[0, 1, 87, 2360, 9, 2, 20, 0, 52, 0, 41, 1853, 391, 22, 17, 42, 804, 3061, 39, 0, 71, 522]",1.0
29,41,"[500, 27, 99, 99, 201, 48, 61]","[0, 1, 488, 3061, 9, 804, 522]",1.0
27,1,"[500, 29, 99, 99, 201, 48, 61]","[0, 41, 488, 3061, 9, 804, 522]",1.0
201,9,"[500, 27, 29, 99, 99, 48, 61]","[0, 1, 41, 488, 3061, 804, 522]",1.0
500,0,"[27, 29, 99, 99, 201, 48, 61]","[1, 41, 488, 3061, 9, 804, 522]",1.0
61,522,"[500, 27, 29, 101, 49, 99, 201, 99, 48, 99, 61]","[0, 1, 41, 1082, 578, 488, 9, 5, 804, 3061, 30]",0.5952380952380951
48,804,"[500, 29, 27, 101, 75, 201, 99, 201, 500, 99, 500, 29, 2, 201, 29, 99, 151, 99, 99, 500, 101, 99, 61]","[0, 13853, 1, 87, 2360, 9, 2, 20, 0, 52, 0, 41, 1853, 391, 22, 17, 42, 3061, 39, 0, 71, 488, 522]",0.7142857142857142
99,3061,"[500, 27, 29, 99, 201, 48, 61]","[0, 1, 41, 488, 9, 804, 522]",1.0
2,138,"[101, 101, 99, 99, 90, 99, 4, 99, 401, 8, 101, 101]","[55, 404, 137, 4996, 182, 0, 326, 0, 15, 677, 1395, 260]",0.5555555555555555
101,55,"[2, 101, 101, 101, 101, 99, 99, 90, 99, 12, 99, 101]","[138, 1528, 1521, 404, 48, 137, 4996, 182, 37, 9896, 1217, 1395]",0.6814814814814817
99,137,"[2, 101, 101, 90]","[138, 1395, 55, 182]",1.0
90,182,"[2, 101, 101, 99]","[138, 1395, 55, 137]",1.0
101,1395,"[2, 101, 99, 90]","[138, 55, 137, 182]",1.0
